route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
NN-0,CR_24_25-HD25H3B6-Samedi-00,37382652-CR_24_25-HD25H3B6-Samedi-00,Hangar à Bananes,0,4136602,NN1010,1
NN-0,CR_24_25-HD25H3B6-Samedi-00,37382653-CR_24_25-HD25H3B6-Samedi-00,Hangar à Bananes,0,4136602,NN1010,1
NN-0,CR_24_25-HD25H3B6-Samedi-00,37382654-CR_24_25-HD25H3B6-Samedi-00,Hangar à Bananes,0,4136602,NN1011,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839298-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839299-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136617,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839300-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136616,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839301-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839302-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136617,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839303-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136616,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839304-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136617,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839305-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839306-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136617,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839307-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136616,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839308-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839309-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136617,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839310-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136616,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839311-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839312-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136617,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839313-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136616,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839314-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136616,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839315-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136615,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839316-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136617,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839317-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136616,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839318-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136616,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839319-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136615,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839320-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136616,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839321-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136617,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839322-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136616,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839323-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136617,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839324-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136616,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839325-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136617,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839326-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839327-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136615,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839328-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136617,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839329-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136615,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839330-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136616,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839331-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136615,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839332-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136614,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839333-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136615,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839334-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839335-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136614,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839336-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136617,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839337-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136616,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839338-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136615,1010148,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839339-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136614,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839340-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136617,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839341-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136616,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839342-CR_24_25-HD25H3B6-Samedi-00,Bd de Doulon,1,4136617,1011149,1
10-0,CR_24_25-HD25H3B6-Samedi-00,42839343-CR_24_25-HD25H3B6-Samedi-00,Gare de Chantenay,0,4136614,1010148,1
