trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,departure_buffer
35756134-CR_24_25-HT25P201-L-Ma-Me-J-11,CSMP2,06:27:00,06:27:00,0,25,,0
35756134-CR_24_25-HT25P201-L-Ma-Me-J-11,RREN3,06:28:00,06:28:00,1,26,,0
35756134-CR_24_25-HT25P201-L-Ma-Me-J-11,LJOS1,06:29:00,06:29:00,0,27,,0
35756134-CR_24_25-HT25P205-Vendredi-11,CSMP2,06:27:00,06:27:00,0,25,,0
35756134-CR_24_25-HT25P205-Vendredi-11,RREN3,06:28:00,06:28:00,1,26,,0
35756134-CR_24_25-HT25P205-Vendredi-11,LJOS1,06:29:00,06:29:00,0,27,,0
35756135-CR_24_25-HT25P201-L-Ma-Me-J-11,CSMP2,06:47:00,06:47:00,0,25,,0
35756135-CR_24_25-HT25P201-L-Ma-Me-J-11,RREN3,06:48:00,06:48:00,1,26,,0
35756135-CR_24_25-HT25P201-L-Ma-Me-J-11,LJOS1,06:49:00,06:49:00,0,27,,0
35756135-CR_24_25-HT25P205-Vendredi-11,CSMP2,06:47:00,06:47:00,0,25,,0
35756135-CR_24_25-HT25P205-Vendredi-11,RREN3,06:48:00,06:48:00,1,26,,0
35756135-CR_24_25-HT25P205-Vendredi-11,LJOS1,06:49:00,06:49:00,0,27,,0
35756136-CR_24_25-HT25P201-L-Ma-Me-J-11,CSMP2,07:09:00,07:09:00,0,25,,0
35756136-CR_24_25-HT25P201-L-Ma-Me-J-11,RREN3,07:10:00,07:10:00,1,26,,0
35756136-CR_24_25-HT25P201-L-Ma-Me-J-11,LJOS1,07:11:00,07:11:00,0,27,,0
35756136-CR_24_25-HT25P205-Vendredi-11,CSMP2,07:09:00,07:09:00,0,25,,0
35756136-CR_24_25-HT25P205-Vendredi-11,RREN3,07:10:00,07:10:00,1,26,,0
35756136-CR_24_25-HT25P205-Vendredi-11,LJOS1,07:11:00,07:11:00,0,27,,0
35756137-CR_24_25-HT25P201-L-Ma-Me-J-11,LJOS2,20:14:00,20:14:00,0,14,,0
35756137-CR_24_25-HT25P201-L-Ma-Me-J-11,RREN4,20:15:00,20:15:00,1,15,,0
