stop_id,stop_name,stop_lat,stop_lon
01_1_S10,STOP_01_1_S10,21.025799,105.841261
01_1_S11,STOP_01_1_S11,21.023535,105.841270
01_1_S12,STOP_01_1_S12,21.019377,105.837823
01_1_S13,STOP_01_1_S13,21.019613,105.833925
01_1_S14,STOP_01_1_S14,21.016060,105.828116
01_2_S23,STOP_01_2_S23,21.017120,105.828864
01_2_S24,STOP_01_2_S24,21.019537,105.833231
01_2_S25,STOP_01_2_S25,21.019183,105.838374
02_1_S10,STOP_02_1_S10,21.029699,105.842224
02_1_S11,STOP_02_1_S11,21.031283,105.839207
02_1_S12,STOP_02_1_S12,21.031252,105.835916
02_1_S13,STOP_02_1_S13,21.027449,105.833691
02_1_S14,STOP_02_1_S14,21.025033,105.832641
02_1_S15,STOP_02_1_S15,21.020243,105.830360
02_1_S16,STOP_02_1_S16,21.016060,105.828116
02_2_S23,STOP_02_2_S23,21.017120,105.828864
02_2_S24,STOP_02_2_S24,21.020210,105.830570
02_2_S25,STOP_02_2_S25,21.024203,105.832358
02_2_S26,STOP_02_2_S26,21.028866,105.834707
02_2_S27,STOP_02_2_S27,21.029783,105.838791
02_2_S28,STOP_02_2_S28,21.028611,105.842824
03A_1_S8,STOP_03A_1_S8,21.014366,105.841291
03A_2_S14,STOP_03A_2_S14,21.023535,105.841270
03A_2_S15,STOP_03A_2_S15,21.015845,105.841176
07_1_S1,STOP_07_1_S1,21.028233,105.805358
07_2_S26,STOP_07_2_S26,21.028233,105.805358
09_1_S14,STOP_09_1_S14,21.014066,105.814958
09_1_S15,STOP_09_1_S15,21.017266,105.814075
09_1_S16,STOP_09_1_S16,21.019750,105.808966
09_1_S17,STOP_09_1_S17,21.021702,105.809166
09_1_S18,STOP_09_1_S18,21.023716,105.806292
09_1_S23,STOP_09_1_S23,21.029673,105.808635
09_1_S24,STOP_09_1_S24,21.032683,105.813575
09_1_S32,STOP_09_1_S32,21.029533,105.842124
09_1_S7,STOP_09_1_S7,21.019377,105.837823
09_1_S8,STOP_09_1_S8,21.019613,105.833925
09_1_S9,STOP_09_1_S9,21.016060,105.828116
09_2_S12,STOP_09_2_S12,21.033066,105.813341
