route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak,boarding_type
26-0,35756134-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Jonelière,0,4148068,2610472,1,0,0
26-0,35756134-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Jonelière,0,4148323,2610472,1,0,0
26-0,35756135-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Jonelière,0,4148066,2610472,1,0,0
26-0,35756135-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Jonelière,0,4148325,2610472,1,0,0
26-0,35756136-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Jonelière,0,4148065,2610472,1,0,0
26-0,35756136-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Jonelière,0,4148307,2610472,1,0,0
26-0,35756137-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Hôtel de Région,1,4148069,2611473,1,0,0
26-0,35756137-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Hôtel de Région,1,4148322,2611473,1,0,0
26-0,35756138-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Hôtel de Région,1,4148069,2611473,1,0,0
26-0,35756138-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Hôtel de Région,1,4148322,2611473,1,0,0
26-0,35756139-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Hôtel de Région,1,4148067,2611473,1,0,0
26-0,35756139-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Hôtel de Région,1,4148324,2611473,1,0,0
26-0,35756140-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Hôtel de Région,1,4148068,2611473,1,0,0
26-0,35756140-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Hôtel de Région,1,4148323,2611473,1,0,0
26-0,35756141-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Hôtel de Région,1,4148068,2611473,1,0,0
26-0,35756141-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Hôtel de Région,1,4148323,2611473,1,0,0
26-0,35756142-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Jonelière,0,4148071,2610472,1,0,0
26-0,35756142-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Jonelière,0,4148321,2610472,1,0,0
26-0,35756143-CR_24_25-HT25P201-L-Ma-Me-J-11,CR_24_25-HT25P201-L-Ma-Me-J-11,Jonelière,0,4148069,2610472,1,0,0
26-0,35756143-CR_24_25-HT25P205-Vendredi-11,CR_24_25-HT25P205-Vendredi-11,Jonelière,0,4148322,2610472,1,0,0
