service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ELB_PS-2-27,1,1,0,1,1,0,0,20240902,20250621
ELB_PS-2-31,1,1,1,1,1,0,0,20240902,20250621
ELB_PS-2-4,0,0,1,0,0,0,0,20240902,20250621
ETE_BL-2-31,1,1,1,1,1,0,0,20250623,20250829
ETE_JA-2-31,1,1,1,1,1,0,0,20250707,20250822
ETE_MV-2-32,0,0,0,0,0,1,0,20250628,20250830
ETE_VE-2-127,1,1,1,1,1,1,1,20250629,20250831
HANGA-2-27,1,1,0,1,1,0,0,20240903,20250705
HANGA-2-31,1,1,1,1,1,0,0,20240903,20250705
HANGA-2-4,0,0,1,0,0,0,0,20240903,20250705
HANGA-2-63,1,1,1,1,1,1,0,20240903,20250705
IN26_J-2-63,1,1,1,1,1,1,0,20240907,20250823
IN26_R-2-31,1,1,1,1,1,0,0,20240902,20250704
IN30_J-2-63,1,1,1,1,1,1,0,20250412,20250823
IN30_O-2-31,1,1,1,1,1,0,0,20250407,20250704
IN30_R-2-31,1,1,1,1,1,0,0,20240902,20250620
IN30_V-2-127,1,1,1,1,1,1,1,20240901,20250824
INT_MV-2-32,0,0,0,0,0,1,0,20240907,20250705
INT_R1-2-27,1,1,0,1,1,0,0,20240902,20250704
INT_R2-2-4,0,0,1,0,0,0,0,20240904,20250702
INT_VE-2-127,1,1,1,1,1,1,1,20240908,20250629
IST_B5-2-11,1,1,0,1,0,0,0,20250623,20250703
IST_B5-2-27,1,1,0,1,1,0,0,20250623,20250703
IST_B6-2-4,0,0,1,0,0,0,0,20250625,20250702
IST_B8-2-31,1,1,1,1,1,0,0,20250825,20250829
IST_BL-2-31,1,1,1,1,1,0,0,20241021,20250530
IST_J5-2-31,1,1,1,1,1,0,0,20250707,20250822
IST_M1-2-32,0,0,0,0,0,1,0,20240907,20250621
IST_M5-2-32,0,0,0,0,0,1,0,20250712,20250830
IST_M6-2-32,0,0,0,0,0,1,0,20250628,20250705
IST_R1-2-11,1,1,0,1,0,0,0,20240902,20250620
IST_R1-2-27,1,1,0,1,1,0,0,20240902,20250620
IST_R2-2-4,0,0,1,0,0,0,0,20240904,20250618
IST_V3-2-127,1,1,1,1,1,1,1,20240908,20250622
IST_V5-2-127,1,1,1,1,1,1,1,20250629,20250831
JDARC-2-8,0,0,0,1,0,0,0,20250529,20250529
NAV_0-2-127$NAV_2-2-127,1,1,1,1,1,1,1,20240902,20250622
NAV_1-2-127,1,1,1,1,1,1,1,20240902,20250620
NAV_1-2-127$NAV_2-2-127,1,1,1,1,1,1,1,20240902,20250622
NAV_1-2-31,1,1,1,1,1,0,0,20240902,20250620
NAV_2-2-127,1,1,1,1,1,1,1,20240907,20250622
T1_BL-2-31,1,1,1,1,1,0,0,20241028,20250530
T1_R1-2-31,1,1,1,1,1,0,0,20240902,20250507
T1_R3-2-31,1,1,1,1,1,0,0,20250512,20250620
T24_B1-2-31,1,1,1,1,1,0,0,20250509,20250509
T24_B2-2-31,1,1,1,1,1,0,0,20250530,20250530
T24_BL-2-24,0,0,0,1,1,0,0,20241021,20250530
T24_BL-2-31,1,1,1,1,1,0,0,20241021,20250530
T24_M1-2-32,0,0,0,0,0,1,0,20240907,20250510
T24_M2-2-32,0,0,0,0,0,1,0,20250517,20250621
T24_MV-2-32,0,0,0,0,0,1,0,20240907,20250621
T24_R1-2-31,1,1,1,1,1,0,0,20240902,20250516
T24_R2-2-31,1,1,1,1,1,0,0,20250519,20250620
T24_RO-2-24,0,0,0,1,1,0,0,20240902,20250620
T24_RO-2-31,1,1,1,1,1,0,0,20240902,20250620
T24_V1-2-127,1,1,1,1,1,1,1,20240908,20250511
T24_V2-2-127,1,1,1,1,1,1,1,20250518,20250622
T24_V3-2-127,1,1,1,1,1,1,1,20240908,20250622
T24_VE-2-127,1,1,1,1,1,1,1,20240908,20250622
