from_stop_id,to_stop_id,transfer_type,min_transfer_time
10001,10002,0,
10002,10001,0,
12189,12191,0,
10019,10020,0,
10020,10019,0,
10021,10022,0,
10022,10021,0,
10023,10024,0,
10024,10023,0,
13033,13034,0,
13033,13035,0,
13033,13036,0,
13034,13033,0,
13034,13035,0,
13034,13036,0,
13035,13033,0,
13035,13034,0,
13035,13036,0,
13036,13033,0,
13036,13034,0,
13036,13035,0,
13031,13032,0,
13032,13031,0,
10027,10028,0,
10028,10027,0,
12086,12089,0,
12089,12086,0,
10031,10032,0,
10032,10031,0,
12016,12017,0,
12017,12016,0,
10033,10034,0,
10034,10033,0,
10037,10038,0,
10038,10037,0,
10042,10043,0,
10043,10042,0,
12229,12228,0,
12228,12229,0,
10044,10045,0,
10045,10044,0,
10055,10056,0,
10056,10055,0,
12164,12165,0,
12164,12368,0,
12165,12164,0,
12165,12368,0,
10057,10058,0,
10058,10057,0,
10059,10060,0,
10060,10059,0,
10065,10066,0,
10066,10065,0,
12951,12950,0,
12950,12951,0,
10076,10077,0,
10076,12990,0,
10076,13137,0,
10077,10076,0,
10077,12990,0,
10077,13137,0,
13155,13156,0,
13156,13155,0,
22484,22487,0,
22487,22484,0,
22483,23324,0,
10082,10083,0,
10083,10082,0,
10086,10087,0,
10087,10086,0,
10088,10089,0,
10089,10088,0,
10090,10091,0,
10091,10090,0,
10092,10093,0,
10093,10092,0,
10094,10095,0,
10095,10094,0,
10098,10099,0,
10098,12568,0,
10099,10098,0,
10100,10101,0,
10101,10100,0,
10102,10103,0,
10103,10102,0,
10105,10106,0,
10106,10105,0,
12325,12329,0,
12329,12325,0,
13200,12210,0,
13200,12211,0,
12210,13200,0,
12210,12211,0,
12211,13200,0,
12211,12210,0,
10115,10116,0,
10116,10115,0,
10119,12524,0,
10119,10125,0,
10119,13199,0,
10119,12983,0,
12524,10119,0,
12524,10125,0,
12524,13199,0,
12524,12983,0,
10125,10119,0,
10125,12524,0,
10125,13199,0,
10125,12983,0,
13199,10119,0,
13199,12524,0,
13199,10125,0,
13199,12983,0,
13199,13144,0,
13199,10126,0,
13199,10127,0,
12983,10119,0,
12983,12524,0,
12983,10125,0,
12983,13199,0,
12983,13144,0,
12983,10126,0,
12983,10127,0,
13144,13199,0,
13144,12983,0,
10126,13199,0,
10126,12983,0,
10126,10127,0,
10127,13199,0,
10127,12983,0,
10127,10126,0,
10128,10129,0,
10128,12138,0,
10129,10128,0,
10130,10131,0,
10131,10130,0,
10132,12925,0,
12925,10132,0,
10134,10135,0,
10134,12987,0,
10134,13140,0,
10135,10134,0,
10135,12987,0,
10135,13140,0,
12987,10134,0,
12987,10135,0,
12987,13140,0,
13140,10134,0,
13140,10135,0,
13140,12987,0,
10138,10139,0,
10139,10138,0,
10140,10141,0,
10141,10140,0,
10144,10145,0,
10145,10144,0,
10150,10152,0,
10150,10154,0,
10150,13250,0,
10152,10150,0,
10152,10154,0,
10152,13250,0,
10154,10150,0,
10154,10152,0,
10154,13250,0,
13250,10150,0,
13250,10152,0,
13250,10154,0,
10155,10156,0,
10156,10155,0,
11929,11932,0,
11932,11929,0,
10157,10158,0,
10158,10157,0,
10159,10160,0,
10160,10159,0,
13096,13097,0,
13097,13096,0,
13017,13025,0,
13025,13017,0,
10165,10166,0,
10166,10165,0,
10167,10168,0,
10168,10167,0,
12337,12344,0,
12344,12337,0,
10173,10174,0,
10173,12182,0,
10173,12183,0,
10174,10173,0,
10174,12182,0,
10174,12183,0,
12182,10173,0,
12182,10174,0,
12182,12183,0,
12183,10173,0,
12183,10174,0,
12183,12182,0,
10178,10179,0,
10179,10178,0,
12861,12862,0,
12862,12861,0,
10183,10184,0,
10184,10183,0,
11984,12015,0,
12015,11984,0,
12753,12741,0,
12753,12742,0,
12753,12743,0,
12753,12744,0,
12753,13215,0,
12753,12746,0,
12753,13350,0,
12753,13351,0,
12741,12753,0,
12741,12742,0,
12741,12743,0,
12741,12744,0,
12741,13215,0,
12741,12746,0,
12741,13350,0,
12741,13351,0,
12742,12753,0,
12742,12741,0,
12742,12743,0,
12742,12744,0,
12742,13215,0,
12742,12746,0,
12742,13350,0,
12742,13351,0,
12743,12753,0,
12743,12741,0,
12743,12742,0,
12743,12744,0,
12743,13215,0,
12743,12746,0,
12743,13350,0,
12743,13351,0,
12744,12753,0,
12744,12741,0,
12744,12742,0,
12744,12743,0,
12744,13215,0,
12744,12746,0,
12744,13350,0,
12744,13351,0,
13215,12753,0,
13215,12741,0,
13215,12742,0,
13215,12743,0,
13215,12744,0,
13215,12746,0,
13215,13350,0,
13215,13351,0,
12746,12753,0,
12746,12741,0,
12746,12742,0,
12746,12743,0,
12746,12744,0,
12746,13215,0,
12746,13350,0,
12746,13351,0,
10204,10205,0,
10205,10204,0,
10206,10207,0,
10207,10206,0,
10214,10215,0,
