route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1197894,1900494,0,Balma-Gramont,11970
line:61,27_1198060,1900660,1,Basso Cambo,11971
line:61,27_1199014,1901612,1,Basso Cambo,11971
line:61,27_1199514,1902108,0,Balma-Gramont,11970
line:61,27_1199739,1902330,0,Balma-Gramont,11970
line:61,27_1199786,1902377,1,Basso Cambo,11971
line:61,27_1199850,1902439,1,Basso Cambo,11971
line:61,27_1199145,1901742,0,Balma-Gramont,11970
line:61,27_1199089,1901687,1,Basso Cambo,11971
line:61,27_1198097,1900697,1,Basso Cambo,11971
line:61,27_1198615,1901214,1,Basso Cambo,11971
line:61,27_1199035,1901633,1,Basso Cambo,11971
line:61,27_1198250,1900850,1,Basso Cambo,11971
line:61,27_1197933,1900533,1,Basso Cambo,11971
line:61,27_1198224,1900824,1,Basso Cambo,11971
line:61,27_1198258,1900858,1,Basso Cambo,11971
line:61,27_1198652,1901251,1,Basso Cambo,11971
line:61,27_1198716,1901315,1,Basso Cambo,11971
line:61,27_1199056,1901654,1,Basso Cambo,11971
line:61,27_1199770,1902361,1,Basso Cambo,11971
line:61,27_1198480,1901079,0,Balma-Gramont,11970
line:61,27_1199372,1901968,1,Basso Cambo,11971
line:61,27_1199000,1901598,1,Basso Cambo,11971
line:61,27_1198488,1901087,0,Balma-Gramont,11970
line:61,27_1198861,1901459,0,Balma-Gramont,11970
line:61,27_1199875,1902462,0,Balma-Gramont,11970
line:61,27_1198378,1900977,0,Balma-Gramont,11970
line:61,27_1198049,1900649,1,Basso Cambo,11971
line:61,27_1199644,1902237,1,Basso Cambo,11971
line:61,27_1199106,1901704,1,Basso Cambo,11971
line:61,27_1199037,1901635,1,Basso Cambo,11971
line:61,27_1198708,1901307,1,Basso Cambo,11971
line:61,27_1198369,1900968,0,Balma-Gramont,11970
line:61,27_1198747,1901346,1,Basso Cambo,11971
line:61,27_1200093,1902670,0,Balma-Gramont,11970
line:61,27_1198406,1901005,0,Balma-Gramont,11970
line:61,27_1198984,1901582,1,Basso Cambo,11971
line:61,27_1199866,1902454,1,Basso Cambo,11971
line:61,27_1197726,1900326,0,Balma-Gramont,11970
line:61,27_1197658,1900258,0,Balma-Gramont,11970
line:61,27_1199028,1901626,1,Basso Cambo,11971
line:61,27_1197866,1900466,0,Balma-Gramont,11970
line:61,27_1198202,1900802,1,Basso Cambo,11971
line:61,27_1197899,1900499,0,Balma-Gramont,11970
line:61,27_1198537,1901136,1,Basso Cambo,11971
line:61,27_1197654,1900254,0,Balma-Gramont,11970
line:61,27_1199029,1901627,1,Basso Cambo,11971
line:61,27_1199388,1901984,1,Basso Cambo,11971
line:61,27_1199492,1902086,0,Balma-Gramont,11970
line:61,27_1199344,1901940,0,Balma-Gramont,11970
line:61,27_1199501,1902095,0,Balma-Gramont,11970
line:61,27_1199775,1902366,1,Basso Cambo,11971
line:61,27_1199523,1902117,0,Balma-Gramont,11970
line:61,27_1198376,1900975,0,Balma-Gramont,11970
line:61,27_1198122,1900722,1,Basso Cambo,11971
line:61,27_1197598,1900198,0,Balma-Gramont,11970
line:61,27_1198018,1900618,1,Basso Cambo,11971
line:61,27_1199525,1902119,0,Balma-Gramont,11970
line:61,27_1199136,1901733,0,Balma-Gramont,11970
line:61,27_1199299,1901896,1,Basso Cambo,11971
line:61,27_1197827,1900427,0,Balma-Gramont,11970
line:61,27_1198228,1900828,1,Basso Cambo,11971
line:61,27_1197809,1900409,0,Balma-Gramont,11970
line:61,27_1198688,1901287,1,Basso Cambo,11971
line:61,27_1198914,1901512,0,Balma-Gramont,11970
line:61,27_1198729,1901328,1,Basso Cambo,11971
line:61,27_1198272,1900872,1,Basso Cambo,11971
line:61,27_1197785,1900385,0,Balma-Gramont,11970
line:61,27_1199626,1902219,0,Balma-Gramont,11970
line:61,27_1199261,1901858,1,Basso Cambo,11971
line:61,27_1199669,1902262,1,Basso Cambo,11971
line:61,27_1199119,1901717,1,Basso Cambo,11971
line:61,27_1198794,1901392,0,Balma-Gramont,11970
line:61,27_1198780,1901379,1,Basso Cambo,11971
line:61,27_1197848,1900448,0,Balma-Gramont,11970
line:61,27_1198169,1900769,1,Basso Cambo,11971
line:61,27_1200094,1902671,0,Balma-Gramont,11970
line:61,27_1198208,1900808,1,Basso Cambo,11971
line:61,27_1197635,1900235,0,Balma-Gramont,11970
line:61,27_1199460,1902055,1,Basso Cambo,11971
line:61,27_1198377,1900976,0,Balma-Gramont,11970
line:61,27_1197800,1900400,0,Balma-Gramont,11970
line:61,27_1197939,1900539,1,Basso Cambo,11971
line:61,27_1197601,1900201,0,Balma-Gramont,11970
line:61,27_1198047,1900647,1,Basso Cambo,11971
line:61,27_1197846,1900446,0,Balma-Gramont,11970
line:61,27_1199153,1901750,0,Balma-Gramont,11970
line:61,27_1199542,1902136,1,Basso Cambo,11971
line:61,27_1198086,1900686,1,Basso Cambo,11971
line:61,27_1197864,1900464,0,Balma-Gramont,11970
line:61,27_1199468,1902063,1,Basso Cambo,11971
line:61,27_1199291,1901888,1,Basso Cambo,11971
line:61,27_1198000,1900600,1,Basso Cambo,11971
line:61,27_1197909,1900509,0,Balma-Gramont,11970
line:61,27_1199499,1902093,0,Balma-Gramont,11970
line:61,27_1197961,1900561,1,Basso Cambo,11971
line:61,27_1198327,1900926,0,Balma-Gramont,11970
line:61,27_1199622,1902215,0,Balma-Gramont,11970
line:61,27_1197835,1900435,0,Balma-Gramont,11970
line:61,27_1197873,1900473,0,Balma-Gramont,11970
line:61,27_1198817,1901415,0,Balma-Gramont,11970
line:61,27_1197856,1900456,0,Balma-Gramont,11970
line:61,27_1198085,1900685,1,Basso Cambo,11971
line:61,27_1200195,1902764,0,Balma-Gramont,11970
line:61,27_1197718,1900318,0,Balma-Gramont,11970
line:61,27_1198431,1901030,0,Balma-Gramont,11970
line:61,27_1199549,1902143,1,Basso Cambo,11971
line:61,27_1198362,1900961,0,Balma-Gramont,11970
line:61,27_1198105,1900705,1,Basso Cambo,11971
line:61,27_1198843,1901441,0,Balma-Gramont,11970
line:61,27_1197740,1900340,0,Balma-Gramont,11970
line:61,27_1198625,1901224,1,Basso Cambo,11971
line:61,27_1198366,1900965,0,Balma-Gramont,11970
line:61,27_1199415,1902010,0,Balma-Gramont,11970
line:61,27_1199944,1902527,1,Basso Cambo,11971
line:61,27_1199870,1902458,1,Basso Cambo,11971
line:61,27_1198226,1900826,1,Basso Cambo,11971
line:61,27_1199019,1901617,1,Basso Cambo,11971
line:61,27_1198736,1901335,1,Basso Cambo,11971
line:61,27_1197603,1900203,0,Balma-Gramont,11970
line:61,27_1198565,1901164,1,Basso Cambo,11971
line:61,27_1198963,1901561,0,Balma-Gramont,11970
line:61,27_1197756,1900356,0,Balma-Gramont,11970
line:61,27_1198116,1900716,1,Basso Cambo,11971
line:61,27_1198771,1901370,1,Basso Cambo,11971
line:61,27_1199263,1901860,1,Basso Cambo,11971
line:61,27_1199699,1902291,0,Balma-Gramont,11970
line:61,27_1199878,1902465,0,Balma-Gramont,11970
line:61,27_1198314,1900913,0,Balma-Gramont,11970
line:61,27_1198408,1901007,0,Balma-Gramont,11970
line:61,27_1200137,1902711,1,Basso Cambo,11971
line:61,27_1198948,1901546,0,Balma-Gramont,11970
line:61,27_1197743,1900343,0,Balma-Gramont,11970
line:61,27_1197799,1900399,0,Balma-Gramont,11970
line:61,27_1198567,1901166,1,Basso Cambo,11971
line:61,27_1199592,1902186,1,Basso Cambo,11971
line:61,27_1197755,1900355,0,Balma-Gramont,11970
line:61,27_1198830,1901428,0,Balma-Gramont,11970
line:61,27_1197863,1900463,0,Balma-Gramont,11970
line:61,27_1199794,1902384,0,Balma-Gramont,11970
line:61,27_1199491,1902085,0,Balma-Gramont,11970
line:61,27_1197964,1900564,1,Basso Cambo,11971
line:61,27_1199194,1901791,0,Balma-Gramont,11970
